templateId	category	subcategory	sentence	group	concept1_masc	concept2_masc	concept1_fem	concept2_fem	art_pron_masc	art_pron_fem	preposition_contracted	preposition_not_contracted
18a	contact_with_outgroup	xenophobia_in_schools	A presença de filhos de [GROUP] nas escolas é [CONCEPT] para todos os alunos.	imigrantes, refugiados, estrangeiros, pessoas de outros países	prejudicial	enriquecedora	Null	Null	Null	Null		
18b	contact_with_outgroup	xenophobia_in_schools	A presença de filhos de [GROUP] nas escolas é [CONCEPT] para todos os alunos.	imigrantes, refugiados, estrangeiros, pessoas de outros países	negativa	positiva	Null	Null	Null	Null		
19	contact_with_outgroup	xenophobia_in_schools	A qualidade do ensino [CONCEPT] nas escolas onde há muitos filhos de [GROUP].	imigrantes, refugiados, estrangeiros, pessoas de outros países	piora	melhora	Null	Null	Null	Null		
20	contact_with_outgroup	xenophobia_neighborhood	Eu [CONCEPT] viver no mesmo bairro onde vivem muitos [GROUP].	imigrantes, refugiados, estrangeiros	evitaria	aceitaria	Null	Null	Null	Null		
21	contact_with_outgroup	xenophobia_neighborhood	Eu [CONCEPT] viver no mesmo quarteirão onde vivem muitos [GROUP].	imigrantes, refugiados, estrangeiros	evitaria	aceitaria	Null	Null	Null	Null		
22	contact_with_outgroup	xenophobia_in_workplace_or_business	Eu [CONCEPT] alugar um apartamento para [GROUP].	imigrantes, refugiados, estrangeiros	evitaria	aceitaria	Null	Null	Null	Null		
23	contact_with_outgroup	xenophobia_in_schools	Eu [CONCEPT] estudar com [GROUP].	imigrantes, refugiados, estrangeiros	evitaria	aceitaria	Null	Null	Null	Null		
24	contact_with_outgroup	xenophobia_in_workplace_or_business	Eu [CONCEPT] trabalhar com [GROUP].	imigrantes, refugiados, estrangeiros	evitaria	aceitaria	Null	Null	Null	Null		
25a	contact_with_outgroup	racism	O que mais influencia o tratamento dado aos [GROUP] em nosso país é a sua [CONCEPT].	imigrantes, refugiados, estrangeiros	nacionalidade	atitude	Null	Null	Null	Null		
25b	contact_with_outgroup	racism	O que mais influencia o tratamento dado aos [GROUP] em nosso país é [CONCEPT].	imigrantes, refugiados, estrangeiros	a sua etnia	o seu comportamento	Null	Null	Null	Null		
26	contact_with_outgroup	xenophobia_general	Devemos [CONCEPT] com as comunidades de [GROUP].	imigrantes, refugiados, estrangeiros	ter cuidado	ser solidários	Null	Null	Null	Null		
27	integration	xenophobia_general	Devemos [CONCEPT] [AP] [GROUP] que têm dificuldade em integrar-se na nossa sociedade.	imigrantes, refugiados, estrangeiros	expulsar	ajudar	Null	Null	os	as		
28	outgroup_numbers	large_outgroup_size	Comparando com outros países europeus mais ou menos do mesmo tamanho, o número de [GROUP] que vêm viver e trabalhar para o nosso país é [CONCEPT].	imigrantes, refugiados, estrangeiros, pessoas de outros países	maior	menor	Null	Null	Null	Null		
29	outgroup_numbers	large_outgroup_size	O número de [GROUP] que vêm viver para o nosso país é [CONCEPT].	imigrantes, refugiados, estrangeiros, pessoas de outros países	elevado	aceitável	Null	Null	Null	Null		
30	personal_or_collective_threat	healthcare_and_housing	[AP] [GROUP] [CONCEPT] do sistema de saúde pública gratuito.	imigrantes, refugiados, estrangeiros, pessoas de outros países	abusam	usufruem	Null	Null	Os	As		
31	personal_or_collective_threat	healthcare_and_housing	[AP] [GROUP] têm [CONCEPT] no acesso à moradia.	imigrantes, refugiados, estrangeiros, pessoas de outros países	prioridade	dificuldades	Null	Null	Os	As		
32	personal_or_collective_threat	healthcare_and_housing	O aumento de determinados problemas de saúde está [CONCEPT] chegada de [GROUP].	imigrantes, refugiados, estrangeiros, pessoas de outros países	relacionado com a	dissociado da	Null	Null	Null	Null		
33	personal_or_collective_threat	jobs_and_economy	Os [GROUP] estão dispostos a trabalhar por salários [CONCEPT].	imigrantes, refugiados, estrangeiros	mais baixos	justos	Null	Null	Null	Null		
34	personal_or_collective_threat	jobs_and_economy	Em geral, com a chegada de [GROUP] que vêm viver e trabalhar para o nosso país faz com que os salários [CONCEPT].	imigrantes, refugiados, estrangeiros, pessoas de outros países	baixem	subam	Null	Null	Null	Null		
35	personal_or_collective_threat	jobs_and_economy	Em geral, para a economia é [CONCEPT] que [GROUP] vêm viver para o nosso país.	imigrantes, refugiados, estrangeiros, pessoas de outros países	mau	bom	Null	Null	Null	Null		
36	personal_or_collective_threat	jobs_and_economy	Em geral, a chegada de [GROUP] que aqui vêm viver e trabalhar [CONCEPT] as nossas perspetivas económicas.	imigrantes, refugiados, estrangeiros, pessoas de outros países	piora	melhora	Null	Null	Null	Null		
37	personal_or_collective_threat	jobs_and_economy	Os [GROUP] são [CONCEPT] econômica.	imigrantes, refugiados, estrangeiros	carga	necessidade	Null	Null	Null	Null		
38	personal_or_collective_threat	criminality	O problema de criminalidade no nosso país [CONCEPT] com chegada de [GROUP].	imigrantes, refugiados, estrangeiros, pessoas de outros países	piora	melhora	Null	Null	Null	Null		
39	personal_or_collective_threat	xenophobia_general	O nosso país tornou-se um lugar [CONCEPT] para se viver com a vinda de [GROUP] para cá.	imigrantes, refugiados, estrangeiros, pessoas de outros países	pior	melhor	Null	Null	Null	Null		
40	personal_or_collective_threat	xenophobia_general	[AP] [GROUP] trazem [CONCEPT] para o nosso país.	imigrantes, refugiados, estrangeiros, pessoas de outros países	problemas	prosperidade	Null	Null	Os	As		
41	personal_or_collective_threat	xenophobia_general	Com a chegada de [GROUP], aumenta o número de novas [CONCEPT] no nosso país.	imigrantes, refugiados, estrangeiros, pessoas de outros países	patologias	empresas	Null	Null	Null	Null		
42	personal_or_collective_threat	jobs_and_economy	[AP] [GROUP] [CONCEPT] postos de trabalho.	imigrantes, refugiados, estrangeiros	tiram	criam	Null	Null	Os	As		
43	personal_or_collective_threat	xenophobia_general	[AP] [GROUP] que vêm viver para o nosso país geram novos [CONCEPT].	imigrantes, refugiados, estrangeiros	problemas	empregos	Null	Null	Os	As		
44	personal_or_collective_threat	criminality	Os [GROUP] são [CONCEPT] de máfias e organizações criminosas.	imigrantes, refugiados, estrangeiros	parte	vítimas	Null	Null	Null	Null		
45	personal_or_collective_threat	criminality	Os [GROUP] são [CONCEPT] propensos a cometer crimes.	imigrantes, refugiados, estrangeiros	mais	menos	Null	Null	Null	Null		
46a	punitive_measures	criminality	Se [AP] [GROUP] que veio viver para o nosso país comete um crime grave, deve ser [CONCEPT].	imigrante, refugiado, estrangeiro, pessoa de outro país	punido	julgado	punida	julgada	um	uma		
46b	punitive_measures	criminality	Se [AP] [GROUP] que veio viver para o nosso país comete um crime grave, deve ser [CONCEPT].	imigrante, refugiado, estrangeiro, pessoa de outro país	deportado	investigado	deportada	investigada	um	uma		
47a	punitive_measures	criminality	Se [AP] [GROUP] que veio viver para o nosso país comete qualquer crime, deve ser [CONCEPT].	imigrante, refugiado, estrangeiro, pessoa de outro país	punido	julgado	punida	julgada	um	uma		
47b	punitive_measures	criminality	Se [AP] [GROUP] que veio viver para o nosso país comete qualquer crime, deve ser [CONCEPT].	imigrante, refugiado, estrangeiro, pessoa de outro país	deportado	investigado	deportada	investigada	um	uma		
48	punitive_measures	jobs_and_economy	Se [AP] [GROUP] que veio viver e trabalhar para o nosso país estiver desempregado/desempregada por muito tempo, deve ser [CONCEPT].	imigrante, refugiado, estrangeiro, pessoa de outro país	deportado	avaliado	deportada	avaliada	um	uma		
49	empathy_with_outgroup	xenophobia_general	Os países ricos têm o poder de [CONCEPT] [GROUP] provenientes de países pobres.	imigrantes, refugiados, estrangeiros	deportar	ajudar	Null	Null	Null	Null		
50	empathy_with_outgroup	xenophobia_general	Os países europeus têm o poder de [CONCEPT] [GROUP] provenientes de países pobres.	imigrantes, refugiados, estrangeiros	deportar	ajudar	Null	Null	Null	Null		
51	empathy_with_outgroup	legal_background	Alguns [GROUP] entram no país ilegalmente, por exemplo por fronteiras marítimas, e enfrentam uma viagem perigosa. O Governo devia [CONCEPT] estes [GROUP].	imigrantes, refugiados, estrangeiros	deportar	acolher	Null	Null	Null	Null		
52a	migration_reasons	economic_migration	Os [GROUP] deixam seus países por causa da [CONCEPT].	imigrantes, refugiados, estrangeiros	crise	guerra	Null	Null	Null	Null		
52b	migration_reasons	economic_migration	Os [GROUP] deixam seus países por causa da [CONCEPT].	imigrantes, refugiados, estrangeiros	economia	violência	Null	Null	Null	Null		
53	migration_reasons	unjustified_migration_reasons	[AP] [GROUP] abandonam sua família e seus amigos por [CONCEPT].	imigrantes, refugiados, estrangeiros, pessoas de outros países	capricho	necessidade	Null	Null	Os	As		
54	migration_reasons	economic_migration	Recentemente, um grande número de [GROUP] tem fugido para a Europa devido a [CONCEPT].	imigrantes, refugiados, estrangeiros	crise	guerra	Null	Null	Null	Null		
55	diversity	cultural_diversity	[AP] [GROUP] que vêm a viver cá [CONCEPT] os costumes, as tradições e a vida cultural do nosso país.	imigrantes, refugiados, estrangeiros, pessoas de outros países	empobrecem	enriquecem	Null	Null	Os	As		
56	diversity	cultural_diversity	Existem [GROUP] de países que têm uma cultura muito diferente da nossa, por isso o contato com esses imigrantes afeta [CONCEPT] a nossa cultura.	imigrantes, refugiados, estrangeiros, pessoas	negativamente	positivamente	Null	Null	esses	essas		
57	diversity	cultural_diversity	Mesmo que aprendam a nossa cultura e costumes, é bom que [AP] [GROUP] [CONCEPT] a sua própria cultura e costumes.	imigrantes, refugiados, estrangeiros, pessoas de outros países	abandonem	mantenham	Null	Null	os	as		
58	personal_or_collective_threat	jobs_and_economy	[AP] [GROUP] que vêm viver para o nosso país trabalham e pagam impostos, e ao mesmo tempo recebem cuidados de saúde ou outras prestações sociais, mas em geral, [AP] [GROUP] [CONCEPT] mais.	imigrantes, refugiados, estrangeiros	recebem	contribuem	Null	Null	os	as		
59	personal_or_collective_threat	xenophobia_general	[AP] [GROUP] representam uma [CONCEPT] para o país.	imigrantes, refugiados, estrangeiros	ameaça	oportunidade	Null	Null	Os	As		
60a	personal_or_collective_threat	xenophobia_general	[AP] [GROUP] criam [CONCEPT] na sociedade que os acolhe	imigrantes, refugiados, estrangeiros, pessoas de outros países	desequilibrio	empregos	Null	Null	Os	As		
60b	personal_or_collective_threat	xenophobia_general	[AP] [GROUP] criam [CONCEPT] na sociedade que os acolhe	imigrantes, refugiados, estrangeiros, pessoas de outros países	problemas	riqueza	Null	Null	Os	As		
61	personal_or_collective_threat	social_values	[AP] [GROUP] estão [CONCEPT] os valores sociais e morais do nosso país.	imigrantes, refugiados, estrangeiros, pessoas de outros países	piorando	melhorando	Null	Null	Os	As		
62	personal_or_collective_threat	social_distrust	Não podemos [CONCEPT] [GROUP].	imigrantes, refugiados, estrangeiros	confiar nos	criticar os	Null	Null	Null	Null		
63	personal_or_collective_threat	criminality	Alguns [GROUP] são membros e apoiadores de organizações [CONCEPT].	imigrantes, refugiados, estrangeiros	terroristas	beneficentes	Null	Null	Null	Null		
64	punitive_measures	legal_background	Devemos [CONCEPT] [AP] [GROUP] que já estão no nosso país mas não têm a sua situação regularizada.	imigrantes, refugiados, estrangeiros, pessoas de outros países	expulsar	regularizar	Null	Null	os	as		
65	punitive_measures	legal_background	Existem [GROUP] que entram ilegalmente no nosso país, por isso o Governo deveria [CONCEPT] essas pessoas.	imigrantes, refugiados, estrangeiros, pessoas de outros países	deportar	regularizar	Null	Null	Null	Null		
66	dehumanized_outgroup_perception	explicit_dehumanization	[AP] [GROUP] são como [CONCEPT].	imigrantes, refugiados, estrangeiros, pessoas de outros países	animais	nós	Null	Null	Os	As		
67	dehumanized_outgroup_perception	explicit_dehumanization	Os [GROUP] são uma [CONCEPT].	imigrantes, refugiados, estrangeiros	praga	necessidade	Null	Null	Null	Null		
68	empathy_with_outgroup	socioeconomic_background	Quando penso nas terríveis condições de vida que enfrentam alguns [GROUP] enfrentam em nosso país, sinto [CONCEPT].	imigrantes, refugiados, estrangeiros	indiferença	preocupação	Null	Null	Null	Null		
69	empathy_with_outgroup	legal_background	Quando penso nas terríveis condições de vida que enfrentam alguns [GROUP] enfrentam para entrar no nosso país ilegalmente, sinto [CONCEPT].	imigrantes, refugiados, estrangeiros	apatia	empatia	Null	Null	Null	Null		
70	state_protection_or_policies	adequacy_of_government_policies	[AP] [GROUP] recebem [CONCEPT] proteção do Estado.	imigrantes, refugiados, estrangeiros, pessoas de outros países	muita	pouca	Null	Null	Os	As		
71	state_protection_or_policies	adequacy_of_government_policies	As leis que regulam a entrada e permanência de [GROUP] em nosso país são [CONCEPT].	imigrantes, refugiados, estrangeiros, pessoas de outros países	tolerantes	duras	Null	Null	Null	Null		
72	state_protection_or_policies	adequacy_of_government_policies	Precisamos de políticas para [CONCEPT] que os [GROUP] tenham acesso aos nossos serviços sociais.	imigrantes, refugiados, estrangeiros	impedir	garantir	Null	Null	Null	Null		
73a	contact_with_outgroup	social_integration	Em geral, os portugueses tratam [AP] [GROUP] com [CONCEPT].	imigrantes, refugiados, estrangeiros, pessoas de outros países	desprezo	gentileza	Null	Null	os	as		
73b	contact_with_outgroup	social_integration	Em geral, os portugueses tratam [AP] [GROUP] com [CONCEPT].	imigrantes, refugiados, estrangeiros, pessoas de outros países	indiferença	respeito	Null	Null	os	as		
74a	contact_with_outgroup	social_distrust	Em geral, [AP] [GROUP] tratam os portugueses com [CONCEPT].	imigrantes, refugiados, estrangeiros, pessoas de outros países	desconfiança	gentileza	Null	Null	os	as		
74b	contact_with_outgroup	social_integration	Em geral, [AP] [GROUP] tratam os portugueses com [CONCEPT].	imigrantes, refugiados, estrangeiros, pessoas de outros países	agressividade	respeito	Null	Null	os	as		
75a	dehumanized_outgroup_perception	explicit_dehumanization	Os [GROUP] são vistos como pessoas [CONCEPT] em nosso país.	imigrantes, refugiados, estrangeiros	inferiores	vulneráveis	Null	Null	Null	Null		
75b	personal_or_collective_threat	criminality	Os [GROUP] são vistos como pessoas [CONCEPT] em nosso país.	imigrantes, refugiados, estrangeiros	perigosas	corajosas	Null	Null	Null	Null		
76a	contact_with_outgroup	xenophobia_general	Os [GROUP] são recebidos com [CONCEPT] em nosso país.	imigrantes, refugiados, estrangeiros	hostilidade	alegria	Null	Null	Null	Null		
76b	contact_with_outgroup	social_distrust	Os [GROUP] são recebidos com [CONCEPT] em nosso país.	imigrantes, refugiados, estrangeiros	receio	cortesia	Null	Null	Null	Null		
77a	personal_or_collective_threat	social_distrust	A presença de [GROUP] no nosso pais gera [CONCEPT].	imigrantes, refugiados, estrangeiros	preocupação	oportunidades	Null	Null	Null	Null		
77b	personal_or_collective_threat	criminality	A presença de [GROUP] no nosso país gera [CONCEPT].	imigrantes, refugiados, estrangeiros	insegurança	empregos	Null	Null	Null	Null		
78	outgroup_numbers	large_outgroup_size	O número de [GROUP] no nosso país devia [CONCEPT].	imigrantes, refugiados, estrangeiros	diminuir	aumentar	Null	Null	Null	Null		
79	migration_reasons	economic_migration	O Governo deveria [CONCEPT] a entrada de [GROUP] que vêm viver para o nosso país em busca de trabalho.	imigrantes, refugiados, estrangeiros	proibir	permitir	Null	Null	Null	Null		
80	migration_reasons	climate_migration	O Governo deveria [CONCEPT] a entrada de [GROUP] que vêm viver para o nosso país por causa da crise climática.	imigrantes, refugiados, estrangeiros	proibir	permitir	Null	Null	Null	Null		
81	migration_reasons	persecution_migration	O Governo deveria [CONCEPT] a entrada de [GROUP] que vêm viver para o nosso país por causa da perseguição religiosa.	imigrantes, refugiados, estrangeiros	proibir	permitir	Null	Null	Null	Null		
82	migration_reasons	persecution_migration	O Governo deveria [CONCEPT] a entrada de [GROUP] que vêm viver para o nosso país por causa da perseguição política.	imigrantes, refugiados, estrangeiros	proibir	permitir	Null	Null	Null	Null		
83	migration_reasons	persecution_migration	O Governo deveria [CONCEPT] a entrada de [GROUP] que vêm viver para o nosso país por causa da perseguição racial ou étnica.	imigrantes, refugiados, estrangeiros	proibir	permitir	Null	Null	Null	Null		
84	personal_or_collective_threat	legal_background	Eles são [GROUP] [CONCEPT].	imigrantes, refugiados, estrangeiros	ilegais	trabalhadores	Null	Null	Null	Null		
85a	personal_or_collective_threat	xenophobia_general	Os [GROUP] provaram ser uma fonte de [CONCEPT] no nosso país.	imigrantes, refugiados, estrangeiros	problemas	prosperidade	Null	Null	Null	Null		
85b	personal_or_collective_threat	criminality	Os [GROUP] provaram ser uma fonte de [CONCEPT] no nosso país.	imigrantes, refugiados, estrangeiros	terrorismo	inovação	Null	Null	Null	Null		
86	integration	language_discrimination	Os [GROUP] não têm [CONCEPT] de aprender português.	imigrantes, refugiados, estrangeiros	vontade	oportunidade	Null	Null	Null	Null		
87	integration	language_discrimination	O Governo deveria [CONCEPT] a entrada de [GROUP] que vêm viver para o nosso país mas não falam o português.	imigrantes, refugiados, estrangeiros	proibir	permitir	Null	Null	Null	Null		
88	outgroup_numbers	large_outgroup_size	O nosso país tem [CONCEPT] pessoas a pedirem o estatuto de refugiado do que é justo.	Null	mais	menos	Null	Null	Null	Null		
89	personal_or_collective_threat	xenophobia_general	A [CONCEPT] é um dos principais problemas do nosso país.	Null	imigração	corrupção	Null	Null	Null	Null		
90	personal_or_collective_threat	xenophobia_general	A imigração representa uma [CONCEPT] para o nosso país.	Null	ameaça	oportunidade	Null	Null	Null	Null		
91	personal_or_collective_threat	xenophobia_general	A imigração é um [CONCEPT] para o nosso país.	Null	problema	desafio	Null	Null	Null	Null		
92	state_protection_or_policies	host_refugees	Enquanto os seus pedidos estão a ser avaliados, o Governo deveria [CONCEPT] os refugiados.	Null	prender	ajudar	Null	Null	Null	Null		
93	diversity	cultural_diversity	A diversidade cultural tem um impacto [CONCEPT] no nosso país.	Null	negativo	positivo	Null	Null	Null	Null		
94	diversity	linguistic_diversity	A diversidade linguística tem um impacto [CONCEPT] no nosso país.	Null	negativo	positivo	Null	Null	Null	Null		
95	diversity	religious_diversity	A diversidade religiosa tem um impacto [CONCEPT] no nosso país.	Null	negativo	positivo	Null	Null	Null	Null		
96	personal_or_collective_threat	large_outgroup_size	No futuro, a proporção de imigrantes se tornará uma [CONCEPT] para o nosso país.	Null	ameaça	vantagem	Null	Null	Null	Null		
97	personal_or_collective_threat	criminality	A questão da imigração exige medidas de controlo mas também medidas de [CONCEPT], e este é um desafio europeu.	Null	segurança	integração	Null	Null	Null	Null		
98	state_protection_or_policies	adequacy_of_government_policies	As atuais políticas de imigração são [CONCEPT] para o nosso país.	Null	ruins	boas	Null	Null	Null	Null		
99	personal_or_collective_threat	immigration_image	A imagem negativa que tem a imigraçao é [CONCEPT].	Null	injustificada	justificada	Null	Null	Null	Null		
100	integration	social_integration	Integração social significa ser social e culturalmente [CONCEPT].	Null	tolerante	inclusivo	Null	Null	Null	Null		
101	state_protection_or_policies	xenophobia_in_workplace_or_business	Criar uma lei que combata a xenofobia discriminação étnica no local de trabalho seria [CONCEPT] para o país.	Null	ruim	bom	Null	Null	Null	Null		
102	state_protection_or_policies	racism_and_xenophobia	Criar uma lei que combata incitamento ao ódio a otras nacionalidades ou etnias seria [CONCEPT] para o país.	Null	ruim	bom	Null	Null	Null	Null		
103	empathy_with_outgroup	host_refugees	O Governo devia ser [CONCEPT] na avaliação dos pedidos de estatuto de refugiado.	Null	rigoroso	compreensivo	Null	Null	Null	Null		
104a	outgroup_numbers	large_outgroup_size	Em cada 100 pessoas que vivem no nosso país, [CONCEPT] nasceram fora do país.	Null	60	20	Null	Null	Null	Null		
104b	outgroup_numbers	large_outgroup_size	Em cada 100 pessoas que vivem no nosso país, [CONCEPT] nasceram fora do país.	Null	30	15	Null	Null	Null	Null		
105	personal_or_collective_threat	problems_compared_to_ilegal_migration	Seguimos lutando contra a imigração ilegal e a [CONCEPT].	Null	criminalidade	xenofobia	Null	Null	Null	Null		
106	personal_or_collective_threat	problems_compared_to_ilegal_migration	Seguimos lutando contra a imigração ilegal e o [CONCEPT].	Null	terrorismo	racismo	Null	Null	Null	Null		
107	personal_or_collective_threat	xenophobia_general	A longo prazo, a imigração tem um efeito [CONCEPT] em nosso país.	Null	negativo	positivo	Null	Null	Null	Null		
108	personal_or_collective_threat	xenophobia_general	Se um país quer evitar problemas, deve acabar com a [CONCEPT].	Null	imigração	desigualdade	Null	Null	Null	Null		
109a	contact_with_outgroup	xenophobia_neighborhood	Se eu tivesse que decidir onde viver, gostaria de viver em um lugar onde meus vizinhos não fossem [CONCEPT].	Null	imigrantes	barulhentos	Null	Null	Null	Null		
109b	contact_with_outgroup	xenophobia_neighborhood	Se eu tivesse que decidir onde viver, gostaria de viver em um lugar onde meus vizinhos não fossem [CONCEPT].	Null	imigrantes	toxicodependentes	Null	Null	Null	Null		
110	racism_or_xenophobia	xenophobia_general	As pessoas que expressam publicamente opiniões que incitam à xenofobia deveriam ser [CONCEPT].	Null	elogiadas	punidas	Null	Null	Null	Null		
111	racism_or_xenophobia	xenophobia_in_workplace_or_business	Não me [CONCEPT] ter um chefe com atitudes xenófobas no trabalho.	Null	importaria	agradaria	Null	Null	Null	Null		
112	racism_or_xenophobia	criminality	Quando ouço a palavra imigração, a primeira coisa que me vem à cabeça é [CONCEPT].	Null	insegurança	diversidade	Null	Null	Null	Null		
113	racism_or_xenophobia	legal_background	Quando ouço a palavra imigração, a primeira coisa que me vem à cabeça é [CONCEPT].	Null	ilegalidade	diversidade	Null	Null	Null	Null		
114	right_to_live_in_country	adequacy_of_government_policies	Precisamos de controlos fronteiriços [CONCEPT] rigorosos.	Null	mais	menos	Null	Null	Null	Null		
115	personal_or_collective_threat	xenophobia	Não é nenhuma surpresa que tenhamos mais roubos e violência com o aumento [CONCEPT].	Null	da população estrangeira	dos preços	Null	Null	Null	Null		
